name	ticker	m_cat	ar_14	ar_15	ar_16	ar_17	ar_18	ar_19	ar_20	ar_21	ar_22	ar_23
iShares MSCI EAFE Small-Cap ETF	SCZ	US Fund Foreign Small/Mid Blend	-6.07	9.10	2.63	32.73	-17.63	24.67	11.69	10.14	-21.24	13.01
iShares MSCI EAFE Value ETF	EFV	US Fund Foreign Large Value	-6.80	-5.86	5.05	21.24	-14.65	15.78	-2.97	11.10	-5.18	18.89
iShares MSCI Emerging Markets Asia ETF	EEMA	US Fund Pacific/Asia ex-Japan Stk	3.29	-11.38	5.72	43.42	-15.77	18.59	25.18	-4.18	-21.49	6.84
iShares MSCI Emerging Markets ETF	EEM	US Fund Diversified Emerging Mkts	-3.92	-16.18	10.87	37.28	-15.31	18.20	17.03	-3.62	-20.56	8.99
iShares MSCI Emerging Mkts ex China ETF	EMXC	US Fund Diversified Emerging Mkts	-	-	-	-	-12.97	15.78	12.77	8.55	-19.56	18.98
iShares MSCI Eurozone ETF	EZU	US Fund Europe Stock	-9.87	-1.65	1.86	27.91	-16.74	23.27	7.60	13.94	-17.21	23.46
iShares MSCI Global Energy Producers ETF	FILL	US Fund Equity Energy	-15.90	-21.72	27.92	9.72	-11.72	8.40	-28.28	42.14	42.49	3.65
iShares MSCI Global Gold Miners ETF	RING	US Fund Equity Precious Metals	-17.63	-25.84	58.69	10.24	-13.14	49.91	24.98	-7.49	-15.40	12.34
iShares MSCI Global Mtls&Mng Prdcrs ETF	PICK	US Fund Natural Resources	-19.69	-40.37	54.74	38.47	-18.63	16.45	27.48	22.64	2.67	9.75
iShares MSCI Global Silver&Mtls Mnrs ETF	SLVP	US Fund Equity Precious Metals	-14.94	-35.53	90.56	4.58	-22.13	37.73	56.53	-23.55	-18.04	-2.29
iShares MSCI Global Sust Dev Goals ETF	SDG	US Fund Global Large-Stock Blend	-	-	-	27.30	-8.33	25.36	44.34	-1.20	-11.52	4.61
iShares MSCI Hong Kong ETF	EWH	US Fund China Region	3.25	-1.17	1.35	36.50	-8.73	10.71	4.19	-3.48	-6.82	-13.81
iShares MSCI India ETF	INDA	US Fund India Equity	21.74	-7.12	-1.64	36.08	-6.69	6.49	14.83	21.49	-8.94	17.16
iShares MSCI India Small-Cap ETF	SMIN	US Fund India Equity	53.18	-0.14	0.49	62.35	-25.54	-5.20	19.58	44.45	-14.23	35.43
iShares MSCI Intl Small-Cap Mltfct ETF	ISCF	US Fund Foreign Small/Mid Blend	-	-	-1.26	38.15	-18.75	26.29	7.63	13.34	-15.05	11.54
iShares MSCI Japan ETF	EWJ	US Fund Japan Stock	-6.22	9.16	2.77	24.27	-14.09	19.33	15.41	1.17	-17.72	20.32
iShares MSCI Japan Small-Cap ETF	SCJ	US Fund Japan Stock	-2.66	14.88	8.27	31.62	-17.17	19.17	7.48	-2.94	-12.75	13.24
iShares MSCI Japan Value ETF	EWJV	US Fund Japan Stock	-	-	-	-	-	-	2.41	5.50	-6.03	23.64
iShares MSCI Pacific ex Japan ETF	EPP	US Fund Pacific/Asia ex-Japan Stk	-1.94	-8.58	7.22	26.10	-10.77	18.27	6.03	4.29	-6.56	5.82
iShares MSCI United Kingdom ETF	EWU	US Fund Miscellaneous Region	-7.61	-7.03	-1.23	21.59	-14.28	21.25	-11.80	18.22	-4.38	12.42
iShares MSCI World ETF	URTH	US Fund Global Large-Stock Blend	4.36	-0.64	7.31	22.96	-8.56	28.14	15.78	22.28	-17.96	23.97
iShares U.S. Equity Factor ETF	LRGF	US Fund Large Blend	-	-	12.96	21.13	-9.64	26.12	11.11	25.01	-14.76	25.87
iShares USD Green Bond ETF	BGRN	US Fund Global Bond-USD Hedged	-	-	-	-	-	9.71	6.86	-2.79	-13.06	6.50
iShares ESG MSCI EM Leaders ETF	LDEM	US Fund Diversified Emerging Mkts	-	-	-	-	-	-	-	-2.01	-22.51	6.55
S&P 500 TR USD	-	-	13.69	1.38	11.96	21.83	-4.38	31.49	18.40	28.71	-18.11	26.29
